timestamp,rank,original_name,search_term,exact_match,match_count,top_matches
2026-03-09 07:25:24 UTC,1,THE TURNER CORP.,TURNER,False,1376,Turner Security; Electronic Security; Whiting Turner
2026-03-09 07:25:24 UTC,2,BECHTEL,BECHTEL,True,50,Bechtel; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,3,MASTEC INC.,MASTEC,True,1789,Fasten Master; Design and Engineering; MasTec
2026-03-09 07:25:24 UTC,4,KIEWIT CORP.,KIEWIT,True,57,Kiewit; Wall Specialties; Design and Engineering
2026-03-09 07:25:24 UTC,5,STO BUILDING GROUP,STO BUILDING,False,5948,"STO Design Group, Inc.; Design and Engineering; Manning Building"
2026-03-09 07:25:24 UTC,6,DPR CONSTRUCTION,DPR CONSTRUCTION,True,35200,DPR Construction; Ceilings; Concrete
2026-03-09 07:25:24 UTC,7,THE WHITING-TURNER CONTRACTING CO.,WHITING-TURNER CONTRACTING,True,7079,Whiting Turner; Communications; Concrete
2026-03-09 07:25:24 UTC,8,FLUOR,FLUOR,True,1421,Fluor; Project Management and Coordination; Bim and Model Making Services
2026-03-09 07:25:24 UTC,9,CLARK GROUP,CLARK GROUP,True,9811,Clark Construcion Group; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,10,SKANSKA USA,SKANSKA USA,True,5335,Skanska USA; Communications; Project Management and Coordination
2026-03-09 07:25:24 UTC,11,HENSEL PHELPS,HENSEL PHELPS,True,1369,Hensel Phelps; Construction Aides; Project Management and Coordination
2026-03-09 07:25:24 UTC,12,GILBANE BUILDING CO.,GILBANE BUILDING,True,5957,Gilbane Building; General Construction Management; Gilbane Building Company
2026-03-09 07:25:24 UTC,13,PCL CONSTRUCTION ENTERPRISES,PCL CONSTRUCTION,True,35210,PCL Construction; General Construction Management; Concrete
2026-03-09 07:25:24 UTC,14,AECOM,AECOM,True,145,AECOM; Design and Engineering; Concrete
2026-03-09 07:25:24 UTC,15,THE WALSH GROUP,WALSH GROUP,True,9647,Walsh Group; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,16,JE DUNN CONSTRUCTION GROUP,JE DUNN CONSTRUCTION,True,35284,JE Dunn Construction; Communications; Concrete
2026-03-09 07:25:24 UTC,17,ARCO CONSTRUCTION COS.,ARCO CONSTRUCTION,True,35211,Arco Construction; Roofing; ARCO
2026-03-09 07:25:24 UTC,18,HITT CONTRACTING INC.,HITT CONTRACTING,True,6900,HITT Contracting; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,19,MCCARTHY HOLDINGS INC.,MCCARTHY HOLDINGS,True,860,McCarthy Holdings Inc; Concrete; Project Management and Coordination
2026-03-09 07:25:24 UTC,20,CLAYCO,CLAYCO,True,352,Clayco; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,21,BRASFIELD & GORRIE LLC,BRASFIELD & GORRIE,False,23,Brasfield Construction; Project Management and Coordination; Lindsay Pope Brayfield
2026-03-09 07:25:24 UTC,22,MORTENSON,MORTENSON,True,44,Mortenson; Project Management and Coordination; Concrete
2026-03-09 07:25:24 UTC,23,TUTOR PERINI CORP.,TUTOR PERINI,True,314,Tutor Perini; Project Management and Coordination; Tutor Perini Corporation
2026-03-09 07:25:24 UTC,24,SUFFOLK CONSTRUCTION CO. INC.,SUFFOLK CONSTRUCTION,True,35228,Suffolk Construction; Project Management and Coordination; Design and Engineering
2026-03-09 07:25:24 UTC,25,BARTON MALOW HOLDINGS LLC,BARTON MALOW,True,82,Barton Malow; Project Management and Coordination; Barton Malow Builders
2026-03-09 07:25:24 UTC,26,BALFOUR BEATTY US,BALFOUR BEATTY US,True,3078,Balfour Beatty US; Construction Scheduling; Balfour Beatty Infrastructure US
2026-03-09 07:25:24 UTC,27,HOLDER CONSTRUCTION,HOLDER CONSTRUCTION,True,35206,Holder Construction; Project Management and Coordination; Holder
2026-03-09 07:25:24 UTC,28,RYAN COS. US INC.,RYAN COMPANIES,True,1675,Ryan Companies; Design and Engineering; General Construction Management
2026-03-09 07:25:24 UTC,29,SWINERTON,SWINERTON,True,26,Swinerton; Project Management and Coordination; Airfield Construction
2026-03-09 07:25:24 UTC,30,HOFFMAN CONSTRUCTION,HOFFMAN CONSTRUCTION,True,35266,office; Hoffman Construction; Concrete
2026-03-09 07:25:24 UTC,31,BURNS & MCDONNELL,BURNS & MCDONNELL,False,153,John burns; Communications; Burns Engineering
2026-03-09 07:25:24 UTC,32,MICHELS CORP.,MICHELS,True,637,Michels; Bored Piles; Michaels
2026-03-09 07:25:24 UTC,33,ZACHRY GROUP,ZACHRY GROUP,True,9587,Zachry Group; Design and Engineering; Concrete
2026-03-09 07:25:24 UTC,34,WALBRIDGE,WALBRIDGE,True,65,Walbridge; Concrete; Design and Engineering
2026-03-09 07:25:24 UTC,35,DRAGADOS,DRAGADOS,True,10,Dragados; Concrete; Flatiron Dragados
2026-03-09 07:25:24 UTC,36,GRANITE CONSTRUCTION INC.,GRANITE CONSTRUCTION,True,36131,Granite Construction; Concrete; Earthwork
2026-03-09 07:25:24 UTC,37,GRAY CONSTRUCTION,GRAY CONSTRUCTION,False,35254,JL Gray Construction; Concrete; Earthwork
2026-03-09 07:25:24 UTC,38,AUSTIN INDUSTRIES,AUSTIN INDUSTRIES,False,5934,Industrial Rigging Service of Austin; Structural Steel; Vortex Austin
2026-03-09 07:25:24 UTC,39,ALBERICI-FLINTCO,ALBERICI-FLINTCO,False,0,
2026-03-09 07:25:24 UTC,40,THE YATES COS. INC.,YATES CONSTRUCTION,True,35222,Yates Construction; Project Management and Coordination; Curbs and Gutters
2026-03-09 07:25:24 UTC,41,CONSIGLI BUILDING GROUP INC.,CONSIGLI BUILDING,False,5947,Consigli; Project Management and Coordination; Consigli Construction
2026-03-09 07:25:24 UTC,42,BLACK & VEATCH,BLACK & VEATCH,False,938,Morris Black; Design and Engineering; Black Forest
2026-03-09 07:25:24 UTC,43,BIG-D CONSTRUCTION,BIG-D CONSTRUCTION,True,36712,Big D Construction; Project Management and Coordination; Pebcor Corporation
2026-03-09 07:25:24 UTC,44,MOSS,MOSS,True,1437,office; Womenâs Business; Moms and Mops
2026-03-09 07:25:24 UTC,45,TURNER INDUSTRIES GROUP LLC,TURNER INDUSTRIES,True,5724,Turner Industries Group; Concrete; Demolition
2026-03-09 07:25:24 UTC,46,DEVCON CONSTRUCTION INC.,DEVCON CONSTRUCTION,False,35197,Devcon; Design and Engineering; DeVCon Distribution
2026-03-09 07:25:24 UTC,47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,True,31342,Ferrovial Construction US; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,True,35196,Alston Construction; Project Management and Coordination; Communications
2026-03-09 07:25:24 UTC,49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,True,35208,Flatiron Construction; Concrete; Demolition
2026-03-09 07:25:24 UTC,50,THE CONLAN COMPANY,CONLAN COMPANY,False,16919,ConlanPlastering LLC; Locally Based Business Enterprise; Conlan Plastering LLC
2026-03-09 07:25:24 UTC,51,STERLING INFRASTRUCTURE INC.,STERLING INFRASTRUCTURE,False,869,Sterling Appliance; Equipment; Sterling Woodcraft
2026-03-09 07:25:24 UTC,52,PEPPER CONSTRUCTION,PEPPER CONSTRUCTION,True,35199,Pepper Construction; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,53,LENDLEASE,LENDLEASE,True,5,Lendlease; Project Management and Coordination; Project Management
2026-03-09 07:25:24 UTC,54,FCL BUILDERS LLC,FCL BUILDERS,True,4216,FCL Builders; Project Management and Coordination; FCL Builders Arizona LLC
2026-03-09 07:25:24 UTC,55,FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION,True,35217,Fortis; Communications; Concrete
2026-03-09 07:25:24 UTC,56,EVANS GENERAL CONTRACTORS,EVANS GENERAL,True,5350,Evans General Contractors; Communications; Concrete
2026-03-09 07:25:24 UTC,57,MIRON CONSTRUCTION CO. INC.,MIRON CONSTRUCTION,True,35194,Miron Construction; Bim and Model Making Services; Ceilings
2026-03-09 07:25:24 UTC,58,HARVEY | HARVEY-CLEARY,HARVEY CLEARY,True,2359,Houston Office (Corporate Headquarters); Austin Office; DC Office
2026-03-09 07:25:24 UTC,59,HASKELL,HASKELL,True,73,Haskell; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,60,THE KOKOSING GROUP OF COS.,KOKOSING,True,5,Kokosing Industrial; Concrete; Earthwork
2026-03-09 07:25:24 UTC,61,ROBINS & MORTON,ROBINS & MORTON,True,382,robins and morton; Project Management and Coordination; Robins Handyman Group
2026-03-09 07:25:24 UTC,62,SUNDT CONSTRUCTION INC.,SUNDT CONSTRUCTION,True,35195,Sundt Construction; General Construction Management; Transportation Construction and Equipment
2026-03-09 07:25:24 UTC,63,CHOATE CONSTRUCTION CO.,CHOATE CONSTRUCTION,True,35201,Choate Construction Company; General Construction Management; Choate USA
2026-03-09 07:25:24 UTC,64,CLUNE CONSTRUCTION,CLUNE CONSTRUCTION,True,35195,Clune Construction; Project Management and Coordination; Clune
2026-03-09 07:25:24 UTC,65,AMES CONSTRUCTION INC.,AMES CONSTRUCTION,True,35205,Ames Construction; Design and Engineering; Earthwork
2026-03-09 07:25:24 UTC,66,J.T. MAGEN & CO. INC.,J.T. MAGEN,True,2422,JT Magen; Project Management and Coordination; T J Conway Company
2026-03-09 07:25:24 UTC,67,E.E. REED CONSTRUCTION LP,E.E. REED CONSTRUCTION,False,35956,E ALL CONSTRUCTION; Cleaning Services; Final Cleaning
2026-03-09 07:25:24 UTC,68,HUNTER ROBERTS CONSTRUCTION GROUP LLC,HUNTER ROBERTS CONSTRUCTION,True,35403,Hunter Roberts Construction Group; Project Management and Coordination; Roberts
2026-03-09 07:25:24 UTC,69,CORE CONSTRUCTION GROUP,CORE CONSTRUCTION,True,35725,Core Construction; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,70,MANHATTAN CONSTRUCTION GROUP,MANHATTAN CONSTRUCTION,True,35254,Manhattan Construction; Project Management and Coordination; Communications
2026-03-09 07:25:24 UTC,71,GARNEY HOLDING CO.,GARNEY,True,985,Garney; Concrete; Demolition
2026-03-09 07:25:24 UTC,72,THE WEITZ CO. & AFFILIATES,WEITZ COMPANY,True,16925,The Weitz Company; General Construction Management; weitz
2026-03-09 07:25:24 UTC,73,MESSER CONSTRUCTION CO.,MESSER CONSTRUCTION,True,35201,Messer Construction; Project Management and Coordination; Messer
2026-03-09 07:25:24 UTC,74,F.A. WILHELM CONSTRUCTION,F.A. WILHELM CONSTRUCTION,True,35497,F.A. Wilhelm; Project Management and Coordination; Wilhelm Commercial Builders
2026-03-09 07:25:24 UTC,75,POWER CONSTRUCTION CO. LLC,POWER CONSTRUCTION,True,36720,Power Construction; Project Management and Coordination; Power Engineering Construction
2026-03-09 07:25:24 UTC,76,HATHAWAY DINWIDDIE CONSTRUCTION CO.,HATHAWAY DINWIDDIE CONSTRUCTION,True,35202,Hathaway Dinwiddie; Design and Engineering; Project Management and Coordination
2026-03-09 07:25:24 UTC,77,THE BOLDT CO.,BOLDT,True,104,BOLDT; Concrete; Earthwork
2026-03-09 07:25:24 UTC,78,OKLAND CONSTRUCTION,OKLAND CONSTRUCTION,True,35193,Okland Construction; Project Management and Coordination; Concrete
2026-03-09 07:25:24 UTC,79,THE MCSHANE COS.,MCSHANE,True,49,McShane Construction; Project Management and Coordination; Cadence McShane
2026-03-09 07:25:24 UTC,80,BRINKMANN CONSTRUCTORS,BRINKMANN,True,17,"St. Louis, MO; Denver, CO; Florida"
2026-03-09 07:25:24 UTC,81,LANE INDUSTRIES INC.,LANE INDUSTRIES,False,5647,Lane Valente Industries; Electrical; Heating Ventilating and Air Conditioning HVAC
2026-03-09 07:25:24 UTC,82,ADOLFSON & PETERSON CONSTRUCTION,ADOLFSON & PETERSON CONSTRUCTION,True,12,Adolfson & Peterson Constructions; Design and Engineering; General Construction Management
2026-03-09 07:25:24 UTC,83,CONSTRUCTION PARTNERS,CONSTRUCTION PARTNERS,True,31086,Partners Construction; Project Management and Coordination; Industrialized Construction Partners
2026-03-09 07:25:24 UTC,84,SAMET CORP.,SAMET,True,342,Samet corp; Project Management and Coordination; Blue Line Painting
2026-03-09 07:25:24 UTC,85,THE CHRISTMAN CO.,CHRISTMAN,True,124,Christman; Concrete; Demolition
2026-03-09 07:25:24 UTC,86,SUMMIT CONTRACTING GROUP INC.,SUMMIT CONTRACTING,True,7275,Summit contracting; Concrete; Structure and Building Moving Relocation
2026-03-09 07:25:24 UTC,87,ALLAN MYERS,ALLAN MYERS,True,231,allan myers; Earthwork; Plumbing
2026-03-09 07:25:24 UTC,88,OHLA USA INC.,OHLA USA,True,5319,OHLA USA; Project Management and Coordination; OHLA U.S.A
2026-03-09 07:25:24 UTC,89,SHAWMUT DESIGN AND CONSTRUCTION,SHAWMUT DESIGN AND CONSTRUCTION,True,1228,Shawmut Design & Construction; Project Management and Coordination; shawmut design and construction
2026-03-09 07:25:24 UTC,90,DAY & ZIMMERMANN,DAY & ZIMMERMANN,False,2753,Dan Fay Plumbing; Small Business; Plumbing
2026-03-09 07:25:24 UTC,91,CROSSLAND CONSTRUCTION CO. INC.,CROSSLAND CONSTRUCTION,False,35201,CROSSLAND; Plumbing; Crossland Holdings
2026-03-09 07:25:24 UTC,92,S&B ENGINEERS AND CONSTRUCTORS,S&B ENGINEERS,False,1212,office; S C S Concrete; Concrete
